"rowid","gameid","home_team","home_score","home_turnovers","away_team","away_score","away_turnovers","TODifAway","TODifHome","PointDifHome","PointDifAway"
"1","2009091000","PIT",13,3,"TEN",10,2,1,-1,3,-3
"2","2009091300","ATL",19,0,"MIA",7,4,-4,4,12,-12
"3","2009091301","BAL",38,1,"KC",24,0,1,-1,14,-14
"4","2009091302","CAR",10,7,"PHI",38,2,5,-5,-28,28
"5","2009091303","CIN",7,2,"DEN",12,0,2,-2,-5,5
"6","2009091304","CLE",20,2,"MIN",34,0,2,-2,-14,14
"7","2009091305","HOU",7,2,"NYJ",24,1,1,-1,-17,17
"8","2009091306","IND",14,2,"JAC",12,0,2,-2,2,-2
"9","2009091307","NO",45,3,"DET",27,3,0,0,18,-18
"10","2009091308","TB",21,0,"DAL",34,0,0,0,-13,13
"11","2009091309","ARI",16,2,"SF",20,1,1,-1,-4,4
"12","2009091310","NYG",23,2,"WAS",17,2,0,0,6,-6
"13","2009091311","SEA",28,3,"STL",0,1,2,-2,28,-28
"14","2009091312","GB",21,0,"CHI",15,4,-4,4,6,-6
"15","2009091400","NE",25,1,"BUF",24,1,0,0,1,-1
"16","2009091401","OAK",20,3,"SD",24,2,1,-1,-4,4
"17","2009092000","ATL",28,2,"CAR",20,2,0,0,8,-8
"18","2009092001","DET",13,3,"MIN",27,1,2,-2,-14,14
"19","2009092002","GB",24,1,"CIN",31,2,-1,1,-7,7
"20","2009092003","JAC",17,3,"ARI",31,2,1,-1,-14,14
"21","2009092004","KC",10,2,"OAK",13,0,2,-2,-3,3
"22","2009092005","NYJ",16,1,"NE",9,1,0,0,7,-7
"23","2009092006","PHI",22,4,"NO",48,1,3,-3,-26,26
"24","2009092007","TEN",31,2,"HOU",34,0,2,-2,-3,3
"25","2009092008","WAS",9,1,"STL",7,1,0,0,2,-2
"26","2009092009","BUF",33,2,"TB",20,2,0,0,13,-13
"27","2009092010","SF",23,0,"SEA",10,1,-1,1,13,-13
"28","2009092011","CHI",17,0,"PIT",14,2,-2,2,3,-3
"29","2009092012","DEN",27,1,"CLE",6,3,-2,2,21,-21
"30","2009092013","SD",26,2,"BAL",31,1,1,-1,-5,5
"31","2009092014","DAL",31,4,"NYG",33,0,4,-4,-2,2
"32","2009092100","MIA",23,1,"IND",27,0,1,-1,-4,4
"33","2009092700","BAL",34,1,"CLE",3,4,-3,3,31,-31
"34","2009092701","CIN",23,0,"PIT",20,1,-1,1,3,-3
"35","2009092702","DET",19,0,"WAS",14,1,-1,1,5,-5
"36","2009092703","HOU",24,2,"JAC",31,1,1,-1,-7,7
"37","2009092704","MIN",27,1,"SF",24,1,0,0,3,-3
"38","2009092705","NE",26,0,"ATL",10,1,-1,1,16,-16
"39","2009092706","PHI",34,1,"KC",14,1,0,0,20,-20
"40","2009092707","STL",17,3,"GB",36,0,3,-3,-19,19
"41","2009092708","TB",0,1,"NYG",24,0,1,-1,-24,24
"42","2009092709","BUF",7,2,"NO",27,1,1,-1,-20,20
"43","2009092710","SEA",19,2,"CHI",25,2,0,0,-6,6
"44","2009092711","NYJ",24,2,"TEN",17,4,-2,2,7,-7
"45","2009092712","OAK",3,3,"DEN",23,1,2,-2,-20,20
"46","2009092713","SD",23,1,"MIA",13,2,-1,1,10,-10
"47","2009092714","ARI",10,3,"IND",31,1,2,-2,-21,21
"48","2009092800","DAL",21,0,"CAR",7,3,-3,3,14,-14
"49","2009100400","CHI",48,0,"DET",24,2,-2,2,24,-24
"50","2009100401","CLE",20,2,"CIN",23,2,0,0,-3,3
"51","2009100402","HOU",29,2,"OAK",6,3,-1,1,23,-23
"52","2009100403","IND",34,1,"SEA",17,2,-1,1,17,-17
"53","2009100404","JAC",37,1,"TEN",17,3,-2,2,20,-20
"54","2009100405","KC",16,1,"NYG",27,2,-1,1,-11,11
"55","2009100406","NE",27,1,"BAL",21,2,-1,1,6,-6
"56","2009100407","WAS",16,4,"TB",13,2,2,-2,3,-3
"57","2009100408","MIA",38,0,"BUF",10,3,-3,3,28,-28
"58","2009100409","NO",24,1,"NYJ",10,4,-3,3,14,-14
"59","2009100410","DEN",17,1,"DAL",10,2,-1,1,7,-7
"60","2009100411","SF",35,0,"STL",0,3,-3,3,35,-35
"61","2009100412","PIT",38,2,"SD",28,1,1,-1,10,-10
"62","2009100500","MIN",30,1,"GB",23,2,-1,1,7,-7
"63","2009101100","BAL",14,2,"CIN",17,2,0,0,-3,3
"64","2009101101","BUF",3,3,"CLE",6,1,2,-2,-3,3
"65","2009101102","CAR",20,2,"WAS",17,1,1,-1,3,-3
"66","2009101103","DET",20,1,"PIT",28,1,0,0,-8,8
"67","2009101104","KC",20,0,"DAL",26,2,-2,2,-6,6
"68","2009101105","NYG",44,1,"OAK",7,3,-2,2,37,-37
